college_code,college_name,years,year_count
4075,武汉软件工程职业学院,"2021,2022,2024,2026",4
4077,武汉商学院,"2021,2022,2024",3
4078,武汉生物工程学院(民办),"2021,2022",2
4078,武汉生物工程学院,"2024,2026",2
4079,武汉体育学院,"2021,2022,2024,2026",4
4080,武汉铁路职业技术学院,"2021,2022,2024,2026",4
4081,武汉外语外事职业学院(民办),2022,1
4081,武汉外语外事职业学院,2024,1
4084,武汉职业技术学院,"2021,2022,2024",3
4084,武汉职业技术大学,2026,1
4085,仙桃职业学院,"2021,2022,2024",3
4086,湖北科技学院,"2021,2022,2024,2026",4
4087,咸宁职业技术学院,"2021,2022,2024",3
4088,湖北文理学院,"2021,2022,2024,2026",4
4089,襄阳职业技术学院,"2021,2022,2024",3
4089,襄阳职业技术大学,2026,1
4090,湖北工程学院,"2021,2022,2024,2026",4
4091,汉江师范学院,"2021,2022,2024,2026",4
4092,湖北医药学院,"2021,2022,2024,2026",4
4093,中国地质大学(武汉)(一流学科建设高校),2021,1
